"id","date","scheme_name","scheme_type","scheme_category","no_of_schemes","no_of_folios","fund_mobilized","repurchase_redemption","net_inflow_outflow","net_aum","avg_net_aum","no_of_segregated_portfolios","net_aum_in_segregated_portfolios"
0,"01-04-2019","Overnight Fund","Open ended Schemes","Income/Debt Oriented Schemes",16.0,21363.0,31583.0,31487.26,95.74,11309.75,11566.84,"",""
1,"01-04-2019","Liquid Fund","Open ended Schemes","Income/Debt Oriented Schemes",40.0,1451293.0,1741122.88,1651344.44,89778.43,477842.96,510923.83,"",""
2,"01-04-2019","Ultra Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",25.0,591392.0,21187.24,10149.98,11037.26,87144.67,86203.31,"",""
3,"01-04-2019","Low Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",26.0,922455.0,13428.89,8515.54,4913.35,89821.94,90672.65,"",""
4,"01-04-2019","Money Market Fund","Open ended Schemes","Income/Debt Oriented Schemes",16.0,284325.0,14309.15,7890.63,6418.52,59017.65,59200.3,"",""
5,"01-04-2019","Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",29.0,263140.0,5214.54,2443.96,2770.57,80720.93,80722.69,"",""
6,"01-04-2019","Medium Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",17.0,243389.0,698.44,1229.34,-530.89,36556.28,37329.08,"",""
7,"01-04-2019","Medium to Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",13.0,103875.0,465.77,201.63,264.14,10127.5,10034.24,"",""
8,"01-04-2019","Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",2.0,18687.0,21.65,13.58,8.06,1130.41,1125.29,"",""
9,"01-04-2019","Dynamic Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",28.0,212622.0,984.87,572.9,411.97,19861.1,19881.43,"",""
10,"01-04-2019","Corporate Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,193906.0,6078.44,2204.05,3874.4,61329.49,60431.67,"",""
11,"01-04-2019","Credit Risk Fund","Open ended Schemes","Income/Debt Oriented Schemes",20.0,576015.0,994.88,2248.16,-1253.28,79643.89,80756.8,"",""
12,"01-04-2019","Banking and PSU Fund","Open ended Schemes","Income/Debt Oriented Schemes",17.0,84669.0,3421.42,629.27,2792.15,35682.17,34637.87,"",""
13,"01-04-2019","Gilt Fund","Open ended Schemes","Income/Debt Oriented Schemes",22.0,64848.0,216.69,257.55,-40.86,7545.52,7532.04,"",""
14,"01-04-2019","Gilt Fund with 10 year constant duration","Open ended Schemes","Income/Debt Oriented Schemes",4.0,10400.0,52.25,19.15,33.1,547.78,538.71,"",""
15,"01-04-2019","Floater Fund","Open ended Schemes","Income/Debt Oriented Schemes",7.0,133693.0,2068.57,1720.84,347.73,30058.01,30140.44,"",""
16,"01-04-2019","Multi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",34.0,8718034.0,4371.41,2498.35,1873.06,152056.4,151782.16,"",""
17,"01-04-2019","Large Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",29.0,8179430.0,2627.11,2578.84,48.27,126595.93,126132.41,"",""
18,"01-04-2019","Large & Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",24.0,4352083.0,1179.38,1199.89,-20.5,51426.53,51506.08,"",""
19,"01-04-2019","Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",24.0,6128989.0,2060.46,1569.42,491.04,75058.47,75976.24,"",""
